DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1,Abacavir,DDInter126,Asparaginase Erwinia chrysanthemi,Moderate
DDInter1,Abacavir,DDInter264,Calaspargase pegol,Moderate
DDInter1,Abacavir,DDInter1435,Pexidartinib,Major
DDInter1,Abacavir,DDInter1578,Remdesivir,Moderate
DDInter1019,Lamivudine,DDInter126,Asparaginase Erwinia chrysanthemi,Moderate
DDInter1019,Lamivudine,DDInter264,Calaspargase pegol,Moderate
DDInter582,Dolutegravir,DDInter277,Calcium glycerophosphate,Major
DDInter338,Cenobamate,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter727,Ferrous sulfate anhydrous,Major
DDInter778,Fosaprepitant,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter836,Goldenseal,Minor
DDInter582,Dolutegravir,DDInter977,Iron protein succinylate,Major
DDInter582,Dolutegravir,DDInter1117,Magnesium glycinate,Major
DDInter1019,Lamivudine,DDInter1435,Pexidartinib,Major
DDInter1019,Lamivudine,DDInter1578,Remdesivir,Moderate
DDInter582,Dolutegravir,DDInter1698,Somapacitan,Minor
DDInter1961,Zidovudine,DDInter142,Avapritinib,Moderate
DDInter1961,Zidovudine,DDInter146,Axicabtagene ciloleucel,Moderate
DDInter1961,Zidovudine,DDInter171,Belantamab mafodotin,Moderate
DDInter1961,Zidovudine,DDInter232,Brexucabtagene autoleucel,Moderate
DDInter1961,Zidovudine,DDInter264,Calaspargase pegol,Moderate
DDInter1961,Zidovudine,DDInter574,Diroximel fumarate,Moderate
DDInter1961,Zidovudine,DDInter612,Duvelisib,Moderate
DDInter1961,Zidovudine,DDInter642,Enfortumab vedotin,Moderate
DDInter1961,Zidovudine,DDInter1847,Trastuzumab deruxtecan,Moderate
DDInter1961,Zidovudine,DDInter821,Givosiran,Moderate
DDInter945,Interferon alfa-n3,DDInter1961,Zidovudine,Major
DDInter949,Interferon gamma-1b,DDInter1961,Zidovudine,Major
DDInter1961,Zidovudine,DDInter979,Isatuximab,Moderate
DDInter1961,Zidovudine,DDInter1081,Lithium carbonate,Minor
DDInter1961,Zidovudine,DDInter1105,Lurbinectedin,Moderate
DDInter1961,Zidovudine,DDInter1108,Lutetium Lu 177 dotatate,Moderate
DDInter1961,Zidovudine,DDInter1240,Monomethyl fumarate,Moderate
DDInter1961,Zidovudine,DDInter1270,Naxitamab,Moderate
DDInter1961,Zidovudine,DDInter1435,Pexidartinib,Major
DDInter1961,Zidovudine,DDInter1485,Polatuzumab vedotin,Moderate
DDInter1961,Zidovudine,DDInter1561,Radium Ra 223 dichloride,Moderate
DDInter1961,Zidovudine,DDInter1578,Remdesivir,Moderate
DDInter1961,Zidovudine,DDInter1644,Satralizumab,Moderate
DDInter1961,Zidovudine,DDInter1692,"Sodium phosphate, monobasic (p32)",Moderate
DDInter1961,Zidovudine,DDInter1738,Tafasitamab,Moderate
DDInter1961,Zidovudine,DDInter1819,Tisagenlecleucel,Moderate
DDInter1961,Zidovudine,DDInter1959,Zanubrutinib,Moderate
DDInter267,Calcipotriol (topical),DDInter2,Abaloparatide,Moderate
DDInter269,Calcitriol (topical),DDInter2,Abaloparatide,Moderate
DDInter553,Digitoxin,DDInter2,Abaloparatide,Moderate
DDInter554,Digoxin,DDInter2,Abaloparatide,Moderate
DDInter8,Abiraterone,DDInter3,Abametapir (topical),Moderate
DDInter9,Acalabrutinib,DDInter3,Abametapir (topical),Moderate
DDInter1848,Trastuzumab emtansine,DDInter3,Abametapir (topical),Moderate
DDInter35,Albendazole,DDInter3,Abametapir (topical),Moderate
DDInter43,Alfentanil,DDInter3,Abametapir (topical),Moderate
DDInter44,Alfuzosin,DDInter3,Abametapir (topical),Moderate
DDInter46,Aliskiren,DDInter3,Abametapir (topical),Moderate
DDInter49,Almotriptan,DDInter3,Abametapir (topical),Moderate
DDInter52,Alosetron,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter53,Alpelisib,Moderate
DDInter54,Alprazolam,DDInter3,Abametapir (topical),Moderate
DDInter76,Amiodarone,DDInter3,Abametapir (topical),Moderate
DDInter78,Amitriptyline,DDInter3,Abametapir (topical),Moderate
DDInter79,Amlodipine,DDInter3,Abametapir (topical),Moderate
DDInter90,Amprenavir,DDInter3,Abametapir (topical),Moderate
DDInter93,Anagrelide,DDInter3,Abametapir (topical),Moderate
DDInter108,Apixaban,DDInter3,Abametapir (topical),Moderate
DDInter111,Apremilast,DDInter3,Abametapir (topical),Moderate
DDInter112,Aprepitant,DDInter3,Abametapir (topical),Moderate
DDInter118,Aripiprazole,DDInter3,Abametapir (topical),Moderate
DDInter119,Armodafinil,DDInter3,Abametapir (topical),Moderate
DDInter125,Asenapine,DDInter3,Abametapir (topical),Moderate
DDInter128,Astemizole,DDInter3,Abametapir (topical),Moderate
DDInter129,Atazanavir,DDInter3,Abametapir (topical),Moderate
DDInter133,Atorvastatin,DDInter3,Abametapir (topical),Moderate
DDInter141,Avanafil,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter142,Avapritinib,Moderate
DDInter147,Axitinib,DDInter3,Abametapir (topical),Moderate
DDInter170,Bedaquiline,DDInter3,Abametapir (topical),Moderate
DDInter174,Belinostat,DDInter3,Abametapir (topical),Moderate
DDInter178,Bendamustine,DDInter3,Abametapir (topical),Moderate
DDInter187,Benzphetamine,DDInter3,Abametapir (topical),Moderate
DDInter195,Betamethasone,DDInter3,Abametapir (topical),Moderate
DDInter202,Bexarotene,DDInter3,Abametapir (topical),Moderate
DDInter221,Boceprevir,DDInter3,Abametapir (topical),Moderate
DDInter222,Bortezomib,DDInter3,Abametapir (topical),Moderate
DDInter223,Bosentan,DDInter3,Abametapir (topical),Moderate
DDInter224,Bosutinib,DDInter3,Abametapir (topical),Moderate
DDInter228,Brentuximab vedotin,DDInter3,Abametapir (topical),Moderate
DDInter231,Brexpiprazole,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter233,Brigatinib,Moderate
DDInter243,Bromocriptine,DDInter3,Abametapir (topical),Moderate
DDInter246,Budesonide,DDInter3,Abametapir (topical),Moderate
DDInter249,Bupivacaine,DDInter3,Abametapir (topical),Moderate
DDInter251,Buprenorphine,DDInter3,Abametapir (topical),Moderate
DDInter252,Bupropion,DDInter3,Abametapir (topical),Moderate
DDInter254,Buspirone,DDInter3,Abametapir (topical),Moderate
DDInter259,Cabazitaxel,DDInter3,Abametapir (topical),Moderate
DDInter262,Cabozantinib,DDInter3,Abametapir (topical),Moderate
DDInter263,Caffeine,DDInter3,Abametapir (topical),Moderate
DDInter287,Capmatinib,DDInter3,Abametapir (topical),Moderate
DDInter293,Carbamazepine,DDInter3,Abametapir (topical),Moderate
DDInter300,Cariprazine,DDInter3,Abametapir (topical),Moderate
DDInter340,Ceritinib,DDInter3,Abametapir (topical),Moderate
DDInter341,Cerivastatin,DDInter3,Abametapir (topical),Moderate
DDInter346,Cevimeline,DDInter3,Abametapir (topical),Moderate
DDInter355,Chlordiazepoxide,DDInter3,Abametapir (topical),Moderate
DDInter363,Chlorpromazine,DDInter3,Abametapir (topical),Moderate
DDInter375,Ciclesonide,DDInter3,Abametapir (topical),Moderate
DDInter379,Cilostazol,DDInter3,Abametapir (topical),Moderate
DDInter381,Cinacalcet,DDInter3,Abametapir (topical),Moderate
DDInter385,Cisapride,DDInter3,Abametapir (topical),Moderate
DDInter388,Citalopram,DDInter3,Abametapir (topical),Moderate
DDInter393,Clarithromycin,DDInter3,Abametapir (topical),Moderate
DDInter398,Clindamycin,DDInter3,Abametapir (topical),Moderate
DDInter401,Clobazam,DDInter3,Abametapir (topical),Moderate
DDInter410,Clomipramine,DDInter3,Abametapir (topical),Moderate
DDInter411,Clonazepam,DDInter3,Abametapir (topical),Moderate
DDInter414,Clorazepic acid,DDInter3,Abametapir (topical),Moderate
DDInter419,Clozapine,DDInter3,Abametapir (topical),Moderate
DDInter424,Cobicistat,DDInter3,Abametapir (topical),Moderate
DDInter425,Cobimetinib,DDInter3,Abametapir (topical),Moderate
DDInter427,Cocaine (topical),DDInter3,Abametapir (topical),Moderate
DDInter429,Codeine,DDInter3,Abametapir (topical),Moderate
DDInter431,Colchicine,DDInter3,Abametapir (topical),Moderate
DDInter438,Conivaptan,DDInter3,Abametapir (topical),Moderate
DDInter439,Conjugated estrogens,DDInter3,Abametapir (topical),Moderate
DDInter448,Crizotinib,DDInter3,Abametapir (topical),Moderate
DDInter454,Cyclobenzaprine,DDInter3,Abametapir (topical),Moderate
DDInter456,Cyclophosphamide,DDInter3,Abametapir (topical),Moderate
DDInter458,Cyclosporine,DDInter3,Abametapir (topical),Moderate
DDInter462,Dabrafenib,DDInter3,Abametapir (topical),Moderate
DDInter464,Daclatasvir,DDInter3,Abametapir (topical),Moderate
DDInter475,Dapsone,DDInter3,Abametapir (topical),Moderate
DDInter480,Darifenacin,DDInter3,Abametapir (topical),Moderate
DDInter482,Darunavir,DDInter3,Abametapir (topical),Moderate
DDInter484,Dasatinib,DDInter3,Abametapir (topical),Moderate
DDInter492,Deflazacort,DDInter3,Abametapir (topical),Moderate
DDInter496,Delavirdine,DDInter3,Abametapir (topical),Moderate
DDInter504,Desipramine,DDInter3,Abametapir (topical),Moderate
DDInter513,Dexamethasone,DDInter3,Abametapir (topical),Moderate
DDInter519,Dexlansoprazole,DDInter3,Abametapir (topical),Moderate
DDInter527,Dextromethorphan,DDInter3,Abametapir (topical),Moderate
DDInter534,Diazepam,DDInter3,Abametapir (topical),Moderate
DDInter537,Diclofenac,DDInter3,Abametapir (topical),Moderate
DDInter557,Dihydroergotamine,DDInter3,Abametapir (topical),Moderate
DDInter561,Diltiazem,DDInter3,Abametapir (topical),Moderate
DDInter575,Disopyramide,DDInter3,Abametapir (topical),Moderate
DDInter578,Docetaxel,DDInter3,Abametapir (topical),Moderate
DDInter580,Dofetilide,DDInter3,Abametapir (topical),Moderate
DDInter581,Dolasetron,DDInter3,Abametapir (topical),Moderate
DDInter583,Donepezil,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter585,Doravirine,Moderate
DDInter592,Doxazosin,DDInter3,Abametapir (topical),Moderate
DDInter595,Doxercalciferol,DDInter3,Abametapir (topical),Moderate
DDInter596,Doxorubicin,DDInter3,Abametapir (topical),Moderate
DDInter597,Doxorubicin (liposomal),DDInter3,Abametapir (topical),Moderate
DDInter601,Dronabinol,DDInter3,Abametapir (topical),Moderate
DDInter602,Dronedarone,DDInter3,Abametapir (topical),Moderate
DDInter603,Droperidol,DDInter3,Abametapir (topical),Moderate
DDInter604,Drospirenone,DDInter3,Abametapir (topical),Moderate
DDInter608,Duloxetine,DDInter3,Abametapir (topical),Moderate
DDInter611,Dutasteride,DDInter3,Abametapir (topical),Moderate
DDInter624,Efavirenz,DDInter3,Abametapir (topical),Moderate
DDInter627,Eletriptan,DDInter3,Abametapir (topical),Moderate
DDInter629,Eliglustat,DDInter3,Abametapir (topical),Moderate
DDInter649,Enzalutamide,DDInter3,Abametapir (topical),Moderate
DDInter656,Eplerenone,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter660,Eravacycline,Moderate
DDInter664,Ergometrine,DDInter3,Abametapir (topical),Moderate
DDInter665,Ergotamine,DDInter3,Abametapir (topical),Moderate
DDInter667,Erlotinib,DDInter3,Abametapir (topical),Moderate
DDInter670,Erythromycin,DDInter3,Abametapir (topical),Moderate
DDInter672,Escitalopram,DDInter3,Abametapir (topical),Moderate
DDInter676,Esomeprazole,DDInter3,Abametapir (topical),Moderate
DDInter677,Estazolam,DDInter3,Abametapir (topical),Moderate
DDInter678,Esterified estrogens,DDInter3,Abametapir (topical),Moderate
DDInter679,Estradiol,DDInter3,Abametapir (topical),Moderate
DDInter680,Estradiol (topical),DDInter3,Abametapir (topical),Moderate
DDInter682,Estrone,DDInter3,Abametapir (topical),Moderate
DDInter683,Estrone sulfate,DDInter3,Abametapir (topical),Moderate
DDInter684,Estrone sulfate (topical),DDInter3,Abametapir (topical),Moderate
DDInter685,Eszopiclone,DDInter3,Abametapir (topical),Moderate
DDInter692,Ethinylestradiol,DDInter3,Abametapir (topical),Moderate
DDInter695,Ethosuximide,DDInter3,Abametapir (topical),Moderate
DDInter701,Etonogestrel,DDInter3,Abametapir (topical),Moderate
DDInter702,Etoposide,DDInter3,Abametapir (topical),Moderate
DDInter703,Etravirine,DDInter3,Abametapir (topical),Moderate
DDInter704,Everolimus,DDInter3,Abametapir (topical),Moderate
DDInter705,Exemestane,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter714,Fedratinib,Moderate
DDInter716,Felodipine,DDInter3,Abametapir (topical),Moderate
DDInter722,Fentanyl,DDInter3,Abametapir (topical),Moderate
DDInter731,Fesoterodine,DDInter3,Abametapir (topical),Moderate
DDInter736,Finasteride,DDInter3,Abametapir (topical),Moderate
DDInter741,Flibanserin,DDInter3,Abametapir (topical),Moderate
DDInter747,Fludrocortisone,DDInter3,Abametapir (topical),Moderate
DDInter762,Flurazepam,DDInter3,Abametapir (topical),Moderate
DDInter765,Flutamide,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter766,Fluticasone,Moderate
DDInter769,Fluvastatin,DDInter3,Abametapir (topical),Moderate
DDInter777,Fosamprenavir,DDInter3,Abametapir (topical),Moderate
DDInter778,Fosaprepitant,DDInter3,Abametapir (topical),Moderate
DDInter788,Frovatriptan,DDInter3,Abametapir (topical),Moderate
DDInter802,Galantamine,DDInter3,Abametapir (topical),Moderate
DDInter810,Gefitinib,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter817,Gilteritinib,Moderate
DDInter3,Abametapir (topical),DDInter822,Glasdegib,Moderate
DDInter831,Glyburide,DDInter3,Abametapir (topical),Moderate
DDInter840,Granisetron,DDInter3,Abametapir (topical),Moderate
DDInter847,Guanfacine,DDInter3,Abametapir (topical),Moderate
DDInter852,Halofantrine,DDInter3,Abametapir (topical),Moderate
DDInter853,Haloperidol,DDInter3,Abametapir (topical),Moderate
DDInter854,Halothane,DDInter3,Abametapir (topical),Moderate
DDInter884,Hydrocodone,DDInter3,Abametapir (topical),Moderate
DDInter885,Hydrocortisone,DDInter3,Abametapir (topical),Moderate
DDInter905,Idelalisib,DDInter3,Abametapir (topical),Moderate
DDInter906,Ifosfamide,DDInter3,Abametapir (topical),Moderate
DDInter907,Iloperidone,DDInter3,Abametapir (topical),Moderate
DDInter909,Imatinib,DDInter3,Abametapir (topical),Moderate
DDInter912,Imipramine,DDInter3,Abametapir (topical),Moderate
DDInter915,Indacaterol,DDInter3,Abametapir (topical),Moderate
DDInter917,Indinavir,DDInter3,Abametapir (topical),Moderate
DDInter973,Irinotecan,DDInter3,Abametapir (topical),Moderate
DDInter974,Irinotecan (liposomal),DDInter3,Abametapir (topical),Moderate
DDInter980,Isavuconazonium,DDInter3,Abametapir (topical),Moderate
DDInter991,Isotretinoin,DDInter3,Abametapir (topical),Moderate
DDInter993,Isradipine,DDInter3,Abametapir (topical),Moderate
DDInter994,Istradefylline,DDInter3,Abametapir (topical),Moderate
DDInter995,Itraconazole,DDInter3,Abametapir (topical),Moderate
DDInter996,Ivabradine,DDInter3,Abametapir (topical),Moderate
DDInter997,Ivacaftor,DDInter3,Abametapir (topical),Moderate
DDInter998,Ivermectin,DDInter3,Abametapir (topical),Moderate
DDInter1001,Ixabepilone,DDInter3,Abametapir (topical),Moderate
DDInter1002,Ixazomib,DDInter3,Abametapir (topical),Moderate
DDInter1007,Ketamine,DDInter3,Abametapir (topical),Moderate
DDInter1008,Ketoconazole,DDInter3,Abametapir (topical),Moderate
DDInter1022,Lansoprazole,DDInter3,Abametapir (topical),Moderate
DDInter1024,Lapatinib,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1034,Lemborexant,Moderate
DDInter1040,Letrozole,DDInter3,Abametapir (topical),Moderate
DDInter1051,Levobupivacaine,DDInter3,Abametapir (topical),Moderate
DDInter1043,Levacetylmethadol,DDInter3,Abametapir (topical),Moderate
DDInter1061,Levonorgestrel,DDInter3,Abametapir (topical),Moderate
DDInter1066,Lidocaine,DDInter3,Abametapir (topical),Moderate
DDInter1070,Linagliptin,DDInter3,Abametapir (topical),Moderate
DDInter1085,Lomitapide,DDInter3,Abametapir (topical),Moderate
DDInter1087,Lonafarnib,DDInter3,Abametapir (topical),Moderate
DDInter1091,Loratadine,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1094,Lorlatinib,Moderate
DDInter1095,Losartan,DDInter3,Abametapir (topical),Moderate
DDInter1098,Lovastatin,DDInter3,Abametapir (topical),Moderate
DDInter1102,Lumateperone,DDInter3,Abametapir (topical),Moderate
DDInter1104,Lurasidone,DDInter3,Abametapir (topical),Moderate
DDInter1111,Macitentan,DDInter3,Abametapir (topical),Moderate
DDInter1125,Maraviroc,DDInter3,Abametapir (topical),Moderate
DDInter1137,Medroxyprogesterone acetate,DDInter3,Abametapir (topical),Moderate
DDInter1140,Mefloquine,DDInter3,Abametapir (topical),Moderate
DDInter1141,Megestrol acetate,DDInter3,Abametapir (topical),Moderate
DDInter1142,Melatonin,DDInter3,Abametapir (topical),Moderate
DDInter1143,Meloxicam,DDInter3,Abametapir (topical),Moderate
DDInter1150,Meperidine,DDInter3,Abametapir (topical),Moderate
DDInter1152,Mephenytoin,DDInter3,Abametapir (topical),Moderate
DDInter1166,Methadone,DDInter3,Abametapir (topical),Moderate
DDInter1187,Methylergometrine,DDInter3,Abametapir (topical),Moderate
DDInter1191,Methylprednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1206,Mexiletine,DDInter3,Abametapir (topical),Moderate
DDInter1212,Midazolam,DDInter3,Abametapir (topical),Moderate
DDInter1214,Midostaurin,DDInter3,Abametapir (topical),Moderate
DDInter1215,Mifepristone,DDInter3,Abametapir (topical),Moderate
DDInter1229,Mirabegron,DDInter3,Abametapir (topical),Moderate
DDInter1230,Mirtazapine,DDInter3,Abametapir (topical),Moderate
DDInter1236,Modafinil,DDInter3,Abametapir (topical),Moderate
DDInter1242,Montelukast,DDInter3,Abametapir (topical),Moderate
DDInter1254,Nabumetone,DDInter3,Abametapir (topical),Moderate
DDInter1258,Naldemedine,DDInter3,Abametapir (topical),Moderate
DDInter1261,Naloxegol,DDInter3,Abametapir (topical),Moderate
DDInter1266,Naproxen,DDInter3,Abametapir (topical),Moderate
DDInter1269,Nateglinide,DDInter3,Abametapir (topical),Moderate
DDInter1274,Nefazodone,DDInter3,Abametapir (topical),Moderate
DDInter1276,Nelfinavir,DDInter3,Abametapir (topical),Moderate
DDInter1285,Nevirapine,DDInter3,Abametapir (topical),Moderate
DDInter1287,Nicardipine,DDInter3,Abametapir (topical),Moderate
DDInter1290,Nicotine,DDInter3,Abametapir (topical),Moderate
DDInter1291,Nifedipine,DDInter3,Abametapir (topical),Moderate
DDInter1293,Nilotinib,DDInter3,Abametapir (topical),Moderate
DDInter1295,Nimodipine,DDInter3,Abametapir (topical),Moderate
DDInter1296,Nintedanib,DDInter3,Abametapir (topical),Moderate
DDInter1298,Nisoldipine,DDInter3,Abametapir (topical),Moderate
DDInter1300,Nitisinone,DDInter3,Abametapir (topical),Moderate
DDInter1312,Norethisterone,DDInter3,Abametapir (topical),Moderate
DDInter1315,Norgestrel,DDInter3,Abametapir (topical),Moderate
DDInter1326,Olanzapine,DDInter3,Abametapir (topical),Moderate
DDInter1327,Olaparib,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1329,Oliceridine,Moderate
DDInter1340,Omeprazole,DDInter3,Abametapir (topical),Moderate
DDInter1342,Ondansetron,DDInter3,Abametapir (topical),Moderate
DDInter1351,Osilodrostat,DDInter3,Abametapir (topical),Moderate
DDInter1352,Osimertinib,DDInter3,Abametapir (topical),Moderate
DDInter1365,Oxybutynin,DDInter3,Abametapir (topical),Moderate
DDInter1366,Oxycodone,DDInter3,Abametapir (topical),Moderate
DDInter1377,Paclitaxel,DDInter3,Abametapir (topical),Moderate
DDInter1378,Paclitaxel (protein-bound),DDInter3,Abametapir (topical),Moderate
DDInter1379,Palbociclib,DDInter3,Abametapir (topical),Moderate
DDInter1387,Panobinostat,DDInter3,Abametapir (topical),Moderate
DDInter1388,Pantoprazole,DDInter3,Abametapir (topical),Moderate
DDInter1394,Paricalcitol,DDInter3,Abametapir (topical),Moderate
DDInter1400,Pazopanib,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1415,Pemigatinib,Moderate
DDInter1426,Pentoxifylline,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1435,Pexidartinib,Moderate
DDInter1469,Pimecrolimus (topical),DDInter3,Abametapir (topical),Moderate
DDInter1470,Pimozide,DDInter3,Abametapir (topical),Moderate
DDInter1472,Pioglitazone,DDInter3,Abametapir (topical),Moderate
DDInter1477,Pirfenidone,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1485,Polatuzumab vedotin,Moderate
DDInter1491,Pomalidomide,DDInter3,Abametapir (topical),Moderate
DDInter1492,Ponatinib,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1504,Pralsetinib,Moderate
DDInter1510,Praziquantel,DDInter3,Abametapir (topical),Moderate
DDInter1513,Prednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1515,Prednisone,DDInter3,Abametapir (topical),Moderate
DDInter1517,Pretomanid,DDInter3,Abametapir (topical),Moderate
DDInter1529,Progesterone,DDInter3,Abametapir (topical),Moderate
DDInter1530,Progesterone (topical),DDInter3,Abametapir (topical),Moderate
DDInter1534,Propafenone,DDInter3,Abametapir (topical),Moderate
DDInter1538,Propofol,DDInter3,Abametapir (topical),Moderate
DDInter1539,Propranolol,DDInter3,Abametapir (topical),Moderate
DDInter1552,Quazepam,DDInter3,Abametapir (topical),Moderate
DDInter1553,Quetiapine,DDInter3,Abametapir (topical),Moderate
DDInter1555,Quinestrol,DDInter3,Abametapir (topical),Moderate
DDInter1556,Quinidine,DDInter3,Abametapir (topical),Moderate
DDInter1557,Quinine,DDInter3,Abametapir (topical),Moderate
DDInter1559,Rabeprazole,DDInter3,Abametapir (topical),Moderate
DDInter1564,Ramelteon,DDInter3,Abametapir (topical),Moderate
DDInter1570,Ranolazine,DDInter3,Abametapir (topical),Moderate
DDInter1572,Rasagiline,DDInter3,Abametapir (topical),Moderate
DDInter1576,Regorafenib,DDInter3,Abametapir (topical),Moderate
DDInter1581,Repaglinide,DDInter3,Abametapir (topical),Moderate
DDInter1584,Retapamulin (topical),DDInter3,Abametapir (topical),Moderate
DDInter1588,Ribociclib,DDInter3,Abametapir (topical),Moderate
DDInter1589,Rifabutin,DDInter3,Abametapir (topical),Moderate
DDInter1595,Rilpivirine,DDInter3,Abametapir (topical),Moderate
DDInter1596,Riluzole,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1598,Rimegepant,Moderate
DDInter3,Abametapir (topical),DDInter1601,Ripretinib,Moderate
DDInter1605,Risperidone,DDInter3,Abametapir (topical),Moderate
DDInter1607,Ritonavir,DDInter3,Abametapir (topical),Moderate
DDInter1609,Rivaroxaban,DDInter3,Abametapir (topical),Moderate
DDInter1614,Roflumilast,DDInter3,Abametapir (topical),Moderate
DDInter1615,Rolapitant,DDInter3,Abametapir (topical),Moderate
DDInter1616,Romidepsin,DDInter3,Abametapir (topical),Moderate
DDInter1619,Ropinirole,DDInter3,Abametapir (topical),Moderate
DDInter1620,Ropivacaine,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1626,Rucaparib,Moderate
DDInter1628,Ruxolitinib,DDInter3,Abametapir (topical),Moderate
DDInter1635,Salmeterol,DDInter3,Abametapir (topical),Moderate
DDInter1640,Saquinavir,DDInter3,Abametapir (topical),Moderate
DDInter1646,Saxagliptin,DDInter3,Abametapir (topical),Moderate
DDInter1653,Selegiline,DDInter3,Abametapir (topical),Moderate
DDInter1656,Selexipag,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1658,Selpercatinib,Moderate
DDInter1662,Sertraline,DDInter3,Abametapir (topical),Moderate
DDInter1665,Sibutramine,DDInter3,Abametapir (topical),Moderate
DDInter1666,Sildenafil,DDInter3,Abametapir (topical),Moderate
DDInter1667,Silodosin,DDInter3,Abametapir (topical),Moderate
DDInter1675,Simvastatin,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1676,Siponimod,Moderate
DDInter1678,Sirolimus,DDInter3,Abametapir (topical),Moderate
DDInter1696,Solifenacin,DDInter3,Abametapir (topical),Moderate
DDInter1701,Sonidegib,DDInter3,Abametapir (topical),Moderate
DDInter1702,Sorafenib,DDInter3,Abametapir (topical),Moderate
DDInter1718,Sufentanil,DDInter3,Abametapir (topical),Moderate
DDInter1731,Sunitinib,DDInter3,Abametapir (topical),Moderate
DDInter1733,Suvorexant,DDInter3,Abametapir (topical),Moderate
DDInter1734,Tacrine,DDInter3,Abametapir (topical),Moderate
DDInter1735,Tacrolimus,DDInter3,Abametapir (topical),Moderate
DDInter1736,Tadalafil,DDInter3,Abametapir (topical),Moderate
DDInter1744,Tamoxifen,DDInter3,Abametapir (topical),Moderate
DDInter1745,Tamsulosin,DDInter3,Abametapir (topical),Moderate
DDInter1747,Tasimelteon,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1750,Tazemetostat,Moderate
DDInter1755,Telaprevir,DDInter3,Abametapir (topical),Moderate
DDInter1758,Telithromycin,DDInter3,Abametapir (topical),Moderate
DDInter1763,Temsirolimus,DDInter3,Abametapir (topical),Moderate
DDInter1765,Teniposide,DDInter3,Abametapir (topical),Moderate
DDInter1768,Terbinafine,DDInter3,Abametapir (topical),Moderate
DDInter1770,Terfenadine,DDInter3,Abametapir (topical),Moderate
DDInter1775,Testosterone,DDInter3,Abametapir (topical),Moderate
DDInter1776,Testosterone (topical),DDInter3,Abametapir (topical),Moderate
DDInter1791,Theophylline,DDInter3,Abametapir (topical),Moderate
DDInter1792,Thiabendazole,DDInter3,Abametapir (topical),Moderate
DDInter1797,Thiotepa,DDInter3,Abametapir (topical),Moderate
DDInter1801,Tiagabine,DDInter3,Abametapir (topical),Moderate
DDInter1802,Ticagrelor,DDInter3,Abametapir (topical),Moderate
DDInter1811,Tinidazole,DDInter3,Abametapir (topical),Moderate
DDInter1817,Tipranavir,DDInter3,Abametapir (topical),Moderate
DDInter1821,Tizanidine,DDInter3,Abametapir (topical),Moderate
DDInter1825,Tofacitinib,DDInter3,Abametapir (topical),Moderate
DDInter1832,Tolterodine,DDInter3,Abametapir (topical),Moderate
DDInter1833,Tolvaptan,DDInter3,Abametapir (topical),Moderate
DDInter1837,Toremifene,DDInter3,Abametapir (topical),Moderate
DDInter1840,Trabectedin,DDInter3,Abametapir (topical),Moderate
DDInter1841,Tramadol,DDInter3,Abametapir (topical),Moderate
DDInter1851,Trazodone,DDInter3,Abametapir (topical),Moderate
DDInter1853,Tretinoin,DDInter3,Abametapir (topical),Moderate
DDInter1855,Triamcinolone,DDInter3,Abametapir (topical),Moderate
DDInter1859,Triamterene,DDInter3,Abametapir (topical),Moderate
DDInter1860,Triazolam,DDInter3,Abametapir (topical),Moderate
DDInter1881,Troglitazone,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1882,Troleandomycin,Moderate
DDInter1891,Tucatinib,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter1896,Ubrogepant,Moderate
DDInter1897,Ulipristal,DDInter3,Abametapir (topical),Moderate
